data_iniSE,casos_41007,casos_41008,casos_41009,casos_41010,casos_41020
2019-01-06,2.3333333333333335,8.333333333333334,60.0,14.666666666666666,15.666666666666666
2019-01-13,3.6666666666666665,16.333333333333332,71.0,22.0,18.666666666666668
2019-01-20,5.333333333333333,27.666666666666668,66.66666666666667,28.0,13.0
2019-01-27,7.333333333333333,33.0,76.0,35.666666666666664,15.0
2019-02-03,6.333333333333333,33.333333333333336,87.0,47.0,17.333333333333332
2019-02-10,6.0,31.0,99.33333333333333,66.0,18.666666666666668
2019-02-17,4.333333333333333,33.0,110.0,85.66666666666667,20.333333333333332
2019-02-24,4.333333333333333,33.333333333333336,117.33333333333333,105.66666666666667,20.666666666666668
2019-03-03,2.6666666666666665,32.666666666666664,120.66666666666667,121.66666666666667,24.666666666666668
2019-03-10,2.6666666666666665,33.666666666666664,146.66666666666666,138.0,55.333333333333336
2019-03-17,3.0,35.666666666666664,205.66666666666666,174.0,116.33333333333333
2019-03-24,6.333333333333333,41.666666666666664,307.0,212.0,152.0
2019-03-31,9.666666666666666,47.0,420.6666666666667,255.33333333333334,168.0
2019-04-07,13.666666666666666,56.333333333333336,503.3333333333333,311.0,176.66666666666666
2019-04-14,12.333333333333334,56.0,596.0,369.6666666666667,221.66666666666666
2019-04-21,12.333333333333334,58.333333333333336,690.0,402.0,248.0
2019-04-28,11.333333333333334,58.0,805.3333333333334,403.0,294.6666666666667
2019-05-05,13.666666666666666,60.666666666666664,933.3333333333334,405.0,325.0
2019-05-12,11.0,57.666666666666664,996.0,405.3333333333333,350.6666666666667
2019-05-19,12.0,46.0,966.3333333333334,357.3333333333333,284.6666666666667
2019-05-26,11.0,36.333333333333336,839.6666666666666,272.3333333333333,212.33333333333334
2019-06-02,11.666666666666666,24.666666666666668,712.0,195.0,150.0
2019-06-09,8.666666666666666,21.666666666666668,618.6666666666666,156.33333333333334,134.66666666666666
2019-06-16,7.333333333333333,16.333333333333332,516.6666666666666,133.33333333333334,112.33333333333333
2019-06-23,7.333333333333333,14.0,423.0,111.66666666666667,92.33333333333333
2019-06-30,6.0,11.666666666666666,303.0,81.0,69.66666666666667
2019-07-07,4.333333333333333,11.333333333333334,214.66666666666666,55.0,51.0
2019-07-14,2.3333333333333335,11.0,133.66666666666666,35.333333333333336,31.333333333333332
2019-07-21,3.0,9.666666666666666,102.33333333333333,30.666666666666668,15.333333333333334
2019-07-28,3.3333333333333335,8.333333333333334,81.33333333333333,26.0,11.333333333333334
2019-08-04,4.333333333333333,6.666666666666667,69.33333333333333,26.333333333333332,11.666666666666666
2019-08-11,4.333333333333333,6.666666666666667,67.33333333333333,24.666666666666668,13.0
2019-08-18,4.666666666666667,7.333333333333333,72.0,24.333333333333332,14.0
2019-08-25,4.0,7.666666666666667,83.0,25.333333333333332,14.666666666666666
2019-09-01,3.0,9.666666666666666,83.66666666666667,22.0,12.666666666666666
2019-09-08,2.6666666666666665,12.0,88.0,23.333333333333332,10.333333333333334
2019-09-15,2.6666666666666665,16.0,82.66666666666667,23.333333333333332,10.0
2019-09-22,2.3333333333333335,17.666666666666668,95.66666666666667,26.333333333333332,10.0
2019-09-29,2.6666666666666665,18.666666666666668,106.33333333333333,27.333333333333332,8.333333333333334
2019-10-06,3.3333333333333335,19.0,122.66666666666667,28.333333333333332,5.666666666666667
2019-10-13,6.0,19.333333333333332,137.66666666666666,32.666666666666664,5.666666666666667
2019-10-20,6.333333333333333,20.666666666666668,157.66666666666666,34.0,7.666666666666667
2019-10-27,8.0,19.0,169.0,34.0,8.0
2019-11-03,7.0,20.0,175.0,38.0,10.666666666666666
2019-11-10,8.0,21.333333333333332,169.0,39.666666666666664,11.333333333333334
2019-11-17,7.333333333333333,27.666666666666668,181.0,46.0,18.666666666666668
2019-11-24,7.0,26.333333333333332,181.66666666666666,43.666666666666664,26.0
2019-12-01,5.0,23.333333333333332,185.33333333333334,49.666666666666664,32.0
2019-12-08,4.0,18.666666666666668,182.0,56.333333333333336,45.0
2019-12-15,2.6666666666666665,14.666666666666666,177.66666666666666,61.666666666666664,50.666666666666664
2019-12-22,3.0,11.666666666666666,157.0,54.0,58.0
2019-12-29,2.3333333333333335,7.666666666666667,142.0,50.333333333333336,80.0
2020-01-05,5.0,9.666666666666666,172.33333333333334,64.33333333333333,169.66666666666666
2020-01-12,7.666666666666667,10.666666666666666,248.66666666666666,116.33333333333333,288.6666666666667
2020-01-19,9.666666666666666,17.0,381.0,210.0,453.6666666666667
2020-01-26,9.666666666666666,24.333333333333332,555.0,305.6666666666667,589.6666666666666
2020-02-02,15.0,37.666666666666664,809.0,437.6666666666667,790.0
2020-02-09,33.0,61.0,1279.0,671.0,1089.0
2020-02-16,50.666666666666664,86.33333333333333,1735.0,897.3333333333334,1370.6666666666667
2020-02-23,64.66666666666667,131.0,2328.6666666666665,1149.6666666666667,1601.6666666666667
2020-03-01,77.66666666666667,185.66666666666666,2839.6666666666665,1445.6666666666667,1739.3333333333333
2020-03-08,94.66666666666667,257.3333333333333,3229.0,1770.0,1852.3333333333333
2020-03-15,103.33333333333333,303.0,3078.3333333333335,1847.6666666666667,1822.3333333333333
2020-03-22,88.33333333333333,321.0,2567.3333333333335,1784.3333333333333,1666.6666666666667
2020-03-29,72.33333333333333,335.6666666666667,2019.3333333333333,1764.3333333333333,1483.6666666666667
2020-04-05,54.0,345.3333333333333,1612.0,1866.6666666666667,1340.3333333333333
2020-04-12,53.0,327.3333333333333,1262.3333333333333,1738.6666666666667,1165.6666666666667
2020-04-19,49.666666666666664,287.6666666666667,978.0,1446.6666666666667,941.6666666666666
